sigla_uf,area_ha,categoria,ano,terrai_nom,fase_ti,id,nome,geocodigo
MT,82.046268661,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,108.060728166,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,268.628918738,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,233.626248718,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,167.802257007,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,134.070019655,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,83.2932105395,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,16.4110768738,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,159.997699211,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,249.474930605,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,61.3659098955,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,86.0654297196,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,53.8595127539,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,190.13499582,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,208.550409961,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,201.554183026,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,41.2928031717,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,125.234172126,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,40.7254791495,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,82.3063782427,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,109.604837784,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,148.454917609,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,285.583735643,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,29.8685361173,não autorizada,2014,Zoró,Regularizada,609.0,Rondolândia,5107578
