sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
MT,311.761919351,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,70.3716270583,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,322.247100697,não autorizada,2018,PIRAJU,ND_B,Marcelândia,5105580
MT,271.269303278,não autorizada,2018,FAZENDA FRANZEN,ND_B,Paranatinga,5106307
MT,132.187115549,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,32.5659651754,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,32.6472964873,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,9.81234754526,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,10.7840216314,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,50.5408047204,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,5.90961631093,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,109.190242548,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,20.6023277101,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,508.234512989,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,187.864188122,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,63.6645118952,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,18.8038651041,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,64.7946054775,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,46.5248321053,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,113.17151259,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,47.1351153167,não autorizada,2018,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,4.67255104338,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,347.422112733,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,30.1277751119,não autorizada,2018,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,475.040722506,não autorizada,2013,FAZENDA MEYRING,ND_B,Gaúcha do Norte,5103858
MT,175.510694377,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,92.4851500125,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,82.422550321,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,83.785522421,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,290.045276455,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,131.612292593,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,53.2870763334,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,62.9517218818,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,140.071495101,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,269.236315136,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,103.768157196,autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,83.4765351188,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,43.8659144887,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,73.7361505031,autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,175.928449762,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,106.631701874,autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,31.1018698115,não autorizada,2013,GLEBA RIO BRANCO,ND_I,Aripuanã,5101407
MT,137.121585732,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,447.359891172,autorizada,2013,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,170.42767577,não autorizada,2013,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,67.0940954012,não autorizada,2013,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,83.7045597386,não autorizada,2013,GLEBA RIO BRANCO,ND_I,Aripuanã,5101407
MT,83.7045597386,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,395.074840441,autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,4.79092468554,não autorizada,2013,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,25.9288370789,não autorizada,2013,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,12.0775937268,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,28.2353792653,não autorizada,2013,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,69.8219276355,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,341.398959776,não autorizada,2013,GLEBA JARINÃ,ND_I,Peixoto de Azevedo,5106422
MT,813.806228815,autorizada,2013,PIRAJU,ND_B,Marcelândia,5105580
MT,64.3255548466,não autorizada,2013,GLEBA GUARIBA,ND_I,Aripuanã,5101407
PA,112.976217121,análise,2015,GLEBA AMPULHETA,ND_B,Marabá,1504208
PA,67.4310502135,análise,2015,TUERÊ,ND_B,Portel,1505809
PA,458.005207629,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,840.154864842,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,172.18735417,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,68.5240251703,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,151.999648437,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,764.597572931,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,69.3329713033,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,232.631814217,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,483.907475497,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,199.204894439,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,65.9861035415,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,450.472000837,análise,2015,TAQUITEUA,ND_B,Paragominas,1505502
PA,264.830006747,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,215.933824017,análise,2015,GLEBA BRAÇO FORTE - B,ND_B,Dom Eliseu,1502939
PA,199.663455907,análise,2015,"ÁGUA AZUL B-11, B-2, C-1, C-2 e C-3",ND_B,Rondon do Pará,1506187
PA,35.8669342985,análise,2015,GLEBA RONDON III,ND_B,Rondon do Pará,1506187
PA,283.59201629,análise,2015,GLEBA PITINGA,ND_I,Rondon do Pará,1506187
PA,283.59201629,análise,2015,GLEBA RONDON III,ND_B,Rondon do Pará,1506187
