sigla_uf,area_ha,categoria,ano,Municipio,nome,geocodigo
MT,618.45004073761,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,101.84483934091,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,672.45328706546,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,396.1503246906,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,844.39561779536,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,11.93078916288,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,86.89294861518,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,573.44050269561,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,148.34272230019,autorizada,2018,Feliz Natal,Feliz Natal,5103700
MT,727.85559223189,autorizada,2018,Nova Ubiratã,Nova Ubiratã,5106240
MT,59.05978313514,autorizada,2018,Paranatinga,Paranatinga,5106307
MT,326.872035571,autorizada,2018,Nova Ubiratã,Nova Ubiratã,5106240
MT,1165.26592078247,autorizada,2018,Marcelândia,Marcelândia,5105580
MT,34.33914582191,autorizada,2018,Sinop,Sinop,5107909
MT,723.25493284669,autorizada,2018,União do Sul,União do Sul,5108303
MT,173.37365149772,autorizada,2018,União do Sul,União do Sul,5108303
MT,89.46163237378,autorizada,2018,Santa Carmem,Santa Carmem,5107248
MT,148.29353654364,não autorizada,2016,Colniza,Colniza,5103254
MT,81.4588750456,não autorizada,2016,Colniza,Colniza,5103254
MT,256.22525445255,não autorizada,2016,Colniza,Colniza,5103254
MT,337.71162629737,não autorizada,2016,Colniza,Colniza,5103254
MT,250.82682487305,não autorizada,2016,Colniza,Colniza,5103254
MT,210.15912419988,não autorizada,2016,Colniza,Colniza,5103254
MT,219.91965264246,não autorizada,2016,Colniza,Colniza,5103254
MT,72.80499203459,não autorizada,2016,Colniza,Colniza,5103254
MT,25.0253981495,não autorizada,2016,Colniza,Colniza,5103254
MT,152.51511955145,não autorizada,2016,Colniza,Colniza,5103254
MT,95.6434517856,não autorizada,2016,Colniza,Colniza,5103254
MT,18.94833605069,não autorizada,2016,Colniza,Colniza,5103254
MT,57.99735297433,não autorizada,2016,Colniza,Colniza,5103254
MT,218.18302453323,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,238.15039946753,não autorizada,2016,Colniza,Colniza,5103254
MT,105.02690307307,não autorizada,2016,Colniza,Colniza,5103254
MT,41.36835258817,não autorizada,2016,Colniza,Colniza,5103254
MT,117.16776916666,não autorizada,2016,Aripuanã,Aripuanã,5101407
MT,171.09140751611,não autorizada,2016,Rondolândia,Rondolândia,5107578
MT,18.07400345226,não autorizada,2016,Colniza,Colniza,5103254
MT,363.48301779092,não autorizada,2016,Aripuanã,Aripuanã,5101407
